# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-12-12 14:57:54 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01105585 TOWN BROOK AT QUINCY, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01105585
#            TS   parameter     Description
#         66228       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	tz_cd	66228_00060	66228_00060_cd
USGS	01105585	2018-07-02 21:30	EDT	2.23	A
USGS	01105585	2018-07-02 21:45	EDT	2.16	A
USGS	01105585	2018-07-02 22:00	EDT	2.12	A
USGS	01105585	2018-07-02 22:15	EDT	2.02	A
USGS	01105585	2018-07-02 22:30	EDT	2.36	A
USGS	01105585	2018-07-02 22:45	EDT	2.20	A
USGS	01105585	2018-07-02 23:00	EDT	2.09	A
USGS	01105585	2018-07-02 23:15	EDT	2.00	A
USGS	01105585	2018-07-02 23:30	EDT	2.14	A
USGS	01105585	2018-07-02 23:45	EDT	2.26	A
USGS	01105585	2018-07-03 00:00	EDT	2.10	A
USGS	01105585	2018-07-03 00:15	EDT	2.00	A
USGS	01105585	2018-07-03 00:30	EDT	1.96	A
USGS	01105585	2018-07-03 00:45	EDT	2.23	A
USGS	01105585	2018-07-03 01:00	EDT	2.16	A
USGS	01105585	2018-07-03 01:15	EDT	2.00	A
USGS	01105585	2018-07-03 01:30	EDT	1.99	A
USGS	01105585	2018-07-03 01:45	EDT	1.99	A
USGS	01105585	2018-07-03 02:00	EDT	2.23	A
USGS	01105585	2018-07-03 02:15	EDT	2.09	A
USGS	01105585	2018-07-03 02:30	EDT	2.00	A
USGS	01105585	2018-07-03 02:45	EDT	1.98	A
USGS	01105585	2018-07-03 03:00	EDT	2.16	A
USGS	01105585	2018-07-03 03:15	EDT	2.17	A
USGS	01105585	2018-07-03 03:30	EDT	2.06	A
USGS	01105585	2018-07-03 03:45	EDT	1.98	A
USGS	01105585	2018-07-03 04:00	EDT	1.98	A
USGS	01105585	2018-07-03 04:15	EDT	2.26	A
USGS	01105585	2018-07-03 04:30	EDT	2.16	A
USGS	01105585	2018-07-03 04:45	EDT	2.06	A
USGS	01105585	2018-07-03 05:00	EDT	2.13	A
USGS	01105585	2018-07-03 05:15	EDT	2.14	A
USGS	01105585	2018-07-03 05:30	EDT	2.48	A
USGS	01105585	2018-07-03 05:45	EDT	2.31	A
USGS	01105585	2018-07-03 06:00	EDT	2.17	A
USGS	01105585	2018-07-03 06:15	EDT	2.07	A
USGS	01105585	2018-07-03 06:30	EDT	2.03	A
USGS	01105585	2018-07-03 06:45	EDT	2.30	A
USGS	01105585	2018-07-03 07:00	EDT	2.09	A
USGS	01105585	2018-07-03 07:15	EDT	1.91	A
USGS	01105585	2018-07-03 07:30	EDT	1.90	A
USGS	01105585	2018-07-03 07:45	EDT	2.07	A
USGS	01105585	2018-07-03 08:00	EDT	2.12	A
USGS	01105585	2018-07-03 08:15	EDT	2.00	A
USGS	01105585	2018-07-03 08:30	EDT	1.95	A
USGS	01105585	2018-07-03 08:45	EDT	1.91	A
USGS	01105585	2018-07-03 09:00	EDT	2.14	A
USGS	01105585	2018-07-03 09:15	EDT	2.05	A
USGS	01105585	2018-07-03 09:30	EDT	1.95	A
USGS	01105585	2018-07-03 09:45	EDT	1.88	A
USGS	01105585	2018-07-03 10:00	EDT	1.90	A
USGS	01105585	2018-07-03 10:15	EDT	2.14	A
USGS	01105585	2018-07-03 10:30	EDT	1.98	A
USGS	01105585	2018-07-03 10:45	EDT	1.91	A
USGS	01105585	2018-07-03 11:00	EDT	1.84	A
USGS	01105585	2018-07-03 11:15	EDT	2.12	A
USGS	01105585	2018-07-03 11:30	EDT	2.02	A
USGS	01105585	2018-07-03 11:45	EDT	1.90	A
USGS	01105585	2018-07-03 12:00	EDT	1.82	A
USGS	01105585	2018-07-03 12:15	EDT	2.00	A
USGS	01105585	2018-07-03 12:30	EDT	2.00	A
USGS	01105585	2018-07-03 12:45	EDT	1.87	A
USGS	01105585	2018-07-03 13:00	EDT	1.87	A
USGS	01105585	2018-07-03 13:15	EDT	2.03	A
USGS	01105585	2018-07-03 13:30	EDT	1.94	A
USGS	01105585	2018-07-03 13:45	EDT	1.88	A
USGS	01105585	2018-07-03 14:00	EDT	1.96	A
USGS	01105585	2018-07-03 14:15	EDT	2.05	A
USGS	01105585	2018-07-03 14:30	EDT	1.98	A
USGS	01105585	2018-07-03 14:45	EDT	1.96	A
USGS	01105585	2018-07-03 15:00	EDT	2.10	A
USGS	01105585	2018-07-03 15:15	EDT	2.02	A
USGS	01105585	2018-07-03 15:30	EDT	1.92	A
USGS	01105585	2018-07-03 15:45	EDT	1.90	A
USGS	01105585	2018-07-03 16:00	EDT	2.10	A
USGS	01105585	2018-07-03 16:15	EDT	1.98	A
USGS	01105585	2018-07-03 16:30	EDT	1.91	A
USGS	01105585	2018-07-03 16:45	EDT	1.87	A
USGS	01105585	2018-07-03 17:00	EDT	2.07	A
USGS	01105585	2018-07-03 17:15	EDT	1.96	A
USGS	01105585	2018-07-03 17:30	EDT	1.88	A
USGS	01105585	2018-07-03 17:45	EDT	1.94	A
USGS	01105585	2018-07-03 18:00	EDT	2.05	A
USGS	01105585	2018-07-03 18:15	EDT	1.92	A
USGS	01105585	2018-07-03 18:30	EDT	1.86	A
USGS	01105585	2018-07-03 18:45	EDT	2.03	A
USGS	01105585	2018-07-03 19:00	EDT	2.05	A
USGS	01105585	2018-07-03 19:15	EDT	1.90	A
USGS	01105585	2018-07-03 19:30	EDT	1.83	A
USGS	01105585	2018-07-03 19:45	EDT	2.05	A
USGS	01105585	2018-07-03 20:00	EDT	2.00	A
USGS	01105585	2018-07-03 20:15	EDT	1.91	A
USGS	01105585	2018-07-03 20:30	EDT	1.86	A
USGS	01105585	2018-07-03 20:45	EDT	2.07	A
USGS	01105585	2018-07-03 21:00	EDT	1.98	A
USGS	01105585	2018-07-03 21:15	EDT	1.88	A
USGS	01105585	2018-07-03 21:30	EDT	1.84	A
USGS	01105585	2018-07-03 21:45	EDT	2.07	A
USGS	01105585	2018-07-03 22:00	EDT	1.95	A
USGS	01105585	2018-07-03 22:15	EDT	1.83	A
USGS	01105585	2018-07-03 22:30	EDT	1.81	A
USGS	01105585	2018-07-03 22:45	EDT	2.05	A
USGS	01105585	2018-07-03 23:00	EDT	1.92	A
USGS	01105585	2018-07-03 23:15	EDT	1.81	A
USGS	01105585	2018-07-03 23:30	EDT	1.79	A
USGS	01105585	2018-07-03 23:45	EDT	1.99	A
USGS	01105585	2018-07-04 00:00	EDT	1.90	A
USGS	01105585	2018-07-04 00:15	EDT	1.82	A
USGS	01105585	2018-07-04 00:30	EDT	1.81	A
USGS	01105585	2018-07-04 00:45	EDT	1.96	A
USGS	01105585	2018-07-04 01:00	EDT	1.83	A
USGS	01105585	2018-07-04 01:45	EDT	1.82	A
USGS	01105585	2018-07-04 02:00	EDT	1.73	A
USGS	01105585	2018-07-04 02:15	EDT	1.64	A
USGS	01105585	2018-07-04 02:30	EDT	1.62	A
USGS	01105585	2018-07-04 02:45	EDT	1.84	A
USGS	01105585	2018-07-04 03:00	EDT	1.74	A
USGS	01105585	2018-07-04 03:15	EDT	1.67	A
USGS	01105585	2018-07-04 03:30	EDT	1.64	A
USGS	01105585	2018-07-04 03:45	EDT	1.77	A
USGS	01105585	2018-07-04 04:15	EDT	1.77	A
USGS	01105585	2018-07-04 04:30	EDT	1.73	A
USGS	01105585	2018-07-04 04:45	EDT	1.86	A
USGS	01105585	2018-07-04 05:00	EDT	1.94	A
USGS	01105585	2018-07-04 05:15	EDT	1.77	A
USGS	01105585	2018-07-04 05:30	EDT	1.73	A
USGS	01105585	2018-07-04 05:45	EDT	1.62	A
USGS	01105585	2018-07-04 06:00	EDT	1.88	A
USGS	01105585	2018-07-04 06:15	EDT	1.91	A
USGS	01105585	2018-07-04 06:30	EDT	1.72	A
USGS	01105585	2018-07-04 06:45	EDT	1.69	A
USGS	01105585	2018-07-04 07:00	EDT	1.73	A
USGS	01105585	2018-07-04 07:15	EDT	1.91	A
USGS	01105585	2018-07-04 07:30	EDT	1.81	A:e
USGS	01105585	2018-07-04 07:45	EDT	1.81	A:e
USGS	01105585	2018-07-04 08:00	EDT	1.81	A:e
USGS	01105585	2018-07-04 08:15	EDT	1.80	A:e
USGS	01105585	2018-07-04 08:30	EDT	1.80	A:e
USGS	01105585	2018-07-04 08:45	EDT	1.80	A:e
USGS	01105585	2018-07-04 09:00	EDT	1.79	A:e
USGS	01105585	2018-07-04 09:15	EDT	1.79	A:e
USGS	01105585	2018-07-04 09:30	EDT	1.79	A:e
USGS	01105585	2018-07-04 09:45	EDT	1.78	A:e
USGS	01105585	2018-07-04 10:00	EDT	1.78	A:e
USGS	01105585	2018-07-04 10:15	EDT	1.77	A:e
USGS	01105585	2018-07-04 10:30	EDT	1.77	A:e
USGS	01105585	2018-07-04 10:45	EDT	1.76	A:e
USGS	01105585	2018-07-04 11:00	EDT	1.76	A:e
USGS	01105585	2018-07-04 11:15	EDT	1.75	A:e
USGS	01105585	2018-07-04 11:30	EDT	1.75	A:e
USGS	01105585	2018-07-04 11:45	EDT	1.74	A:e
USGS	01105585	2018-07-04 12:00	EDT	1.74	A:e
USGS	01105585	2018-07-04 12:15	EDT	1.74	A:e
USGS	01105585	2018-07-04 12:30	EDT	1.73	A:e
USGS	01105585	2018-07-04 12:45	EDT	1.73	A:e
USGS	01105585	2018-07-04 13:00	EDT	1.72	A:e
USGS	01105585	2018-07-04 13:15	EDT	1.72	A:e
USGS	01105585	2018-07-04 13:30	EDT	1.71	A:e
USGS	01105585	2018-07-04 13:45	EDT	1.71	A:e
USGS	01105585	2018-07-04 14:00	EDT	1.70	A:e
USGS	01105585	2018-07-04 14:15	EDT	1.70	A:e
USGS	01105585	2018-07-04 14:30	EDT	1.69	A:e
USGS	01105585	2018-07-04 14:45	EDT	1.69	A:e
USGS	01105585	2018-07-04 15:00	EDT	1.68	A:e
USGS	01105585	2018-07-04 15:15	EDT	1.68	A:e
USGS	01105585	2018-07-04 15:30	EDT	1.67	A:e
USGS	01105585	2018-07-04 15:45	EDT	1.67	A:e
USGS	01105585	2018-07-04 16:00	EDT	1.66	A:e
USGS	01105585	2018-07-04 16:15	EDT	1.66	A:e
USGS	01105585	2018-07-04 16:30	EDT	1.65	A:e
USGS	01105585	2018-07-04 16:45	EDT	1.65	A:e
USGS	01105585	2018-07-04 17:00	EDT	1.64	A:e
USGS	01105585	2018-07-04 17:15	EDT	1.64	A:e
USGS	01105585	2018-07-04 17:30	EDT	1.63	A:e
USGS	01105585	2018-07-04 17:45	EDT	1.63	A:e
USGS	01105585	2018-07-04 18:00	EDT	1.62	A:e
USGS	01105585	2018-07-04 18:15	EDT	1.62	A:e
USGS	01105585	2018-07-04 18:30	EDT	1.61	A:e
USGS	01105585	2018-07-04 18:45	EDT	1.61	A:e
USGS	01105585	2018-07-04 19:00	EDT	1.60	A:e
USGS	01105585	2018-07-04 19:15	EDT	1.60	A:e
USGS	01105585	2018-07-04 19:30	EDT	1.60	A:e
USGS	01105585	2018-07-04 19:45	EDT	1.59	A:e
USGS	01105585	2018-07-04 20:00	EDT	1.59	A:e
USGS	01105585	2018-07-04 20:15	EDT	1.58	A:e
USGS	01105585	2018-07-04 20:30	EDT	1.57	A:e
USGS	01105585	2018-07-04 20:45	EDT	1.56	A:e
USGS	01105585	2018-07-04 21:00	EDT	1.54	A:e
USGS	01105585	2018-07-04 21:15	EDT	1.53	A:e
USGS	01105585	2018-07-04 21:30	EDT	1.52	A:e
USGS	01105585	2018-07-04 21:45	EDT	1.51	A:e
USGS	01105585	2018-07-04 22:00	EDT	1.50	A:e
USGS	01105585	2018-07-04 22:15	EDT	1.49	A:e
USGS	01105585	2018-07-04 22:30	EDT	1.48	A:e
USGS	01105585	2018-07-04 22:45	EDT	1.47	A:e
USGS	01105585	2018-07-04 23:00	EDT	1.46	A:e
USGS	01105585	2018-07-04 23:15	EDT	1.45	A:e
USGS	01105585	2018-07-04 23:30	EDT	1.44	A:e
USGS	01105585	2018-07-04 23:45	EDT	1.43	A:e
USGS	01105585	2018-07-05 00:00	EDT	1.42	A:e
USGS	01105585	2018-07-05 00:15	EDT	1.41	A:e
USGS	01105585	2018-07-05 00:30	EDT	1.40	A:e
USGS	01105585	2018-07-05 00:45	EDT	1.39	A:e
USGS	01105585	2018-07-05 01:00	EDT	1.38	A:e
USGS	01105585	2018-07-05 01:15	EDT	1.36	A:e
USGS	01105585	2018-07-05 01:30	EDT	1.35	A:e
USGS	01105585	2018-07-05 01:45	EDT	1.34	A:e
USGS	01105585	2018-07-05 02:00	EDT	1.33	A:e
USGS	01105585	2018-07-05 02:15	EDT	1.32	A:e
USGS	01105585	2018-07-05 02:30	EDT	1.31	A:e
USGS	01105585	2018-07-05 02:45	EDT	1.30	A:e
USGS	01105585	2018-07-05 03:00	EDT	1.29	A:e
USGS	01105585	2018-07-05 03:15	EDT	1.28	A:e
USGS	01105585	2018-07-05 03:30	EDT	1.27	A:e
USGS	01105585	2018-07-05 03:45	EDT	1.26	A:e
USGS	01105585	2018-07-05 04:00	EDT	1.25	A:e
USGS	01105585	2018-07-05 04:15	EDT	1.24	A:e
USGS	01105585	2018-07-05 04:30	EDT	1.23	A:e
USGS	01105585	2018-07-05 04:45	EDT	1.22	A:e
USGS	01105585	2018-07-05 05:00	EDT	1.21	A:e
USGS	01105585	2018-07-05 05:15	EDT	1.21	A:e
USGS	01105585	2018-07-05 05:30	EDT	1.21	A:e
USGS	01105585	2018-07-05 05:45	EDT	1.21	A:e
USGS	01105585	2018-07-05 06:00	EDT	1.21	A:e
USGS	01105585	2018-07-05 06:15	EDT	1.21	A:e
USGS	01105585	2018-07-05 06:30	EDT	1.21	A:e
USGS	01105585	2018-07-05 06:45	EDT	1.21	A:e
USGS	01105585	2018-07-05 07:00	EDT	1.20	A:e
USGS	01105585	2018-07-05 07:15	EDT	1.20	A:e
USGS	01105585	2018-07-05 07:30	EDT	1.20	A:e
USGS	01105585	2018-07-05 07:45	EDT	1.20	A:e
USGS	01105585	2018-07-05 08:00	EDT	1.20	A:e
USGS	01105585	2018-07-05 08:15	EDT	1.20	A:e
USGS	01105585	2018-07-05 08:30	EDT	1.20	A:e
USGS	01105585	2018-07-05 08:45	EDT	1.20	A:e
USGS	01105585	2018-07-05 09:00	EDT	1.20	A:e
USGS	01105585	2018-07-05 09:15	EDT	1.20	A:e
USGS	01105585	2018-07-05 09:30	EDT	1.20	A:e
USGS	01105585	2018-07-05 09:45	EDT	1.20	A:e
USGS	01105585	2018-07-05 10:00	EDT	1.20	A:e
USGS	01105585	2018-07-05 10:15	EDT	1.19	A:e
USGS	01105585	2018-07-05 10:30	EDT	1.19	A:e
USGS	01105585	2018-07-05 10:45	EDT	1.19	A:e
USGS	01105585	2018-07-05 11:00	EDT	1.19	A:e
USGS	01105585	2018-07-05 11:15	EDT	1.19	A:e
USGS	01105585	2018-07-05 11:30	EDT	1.19	A:e
USGS	01105585	2018-07-05 11:45	EDT	1.19	A:e
USGS	01105585	2018-07-05 12:00	EDT	1.19	A:e
USGS	01105585	2018-07-05 12:15	EDT	1.19	A:e
USGS	01105585	2018-07-05 12:30	EDT	1.19	A:e
USGS	01105585	2018-07-05 12:45	EDT	1.19	A:e
USGS	01105585	2018-07-05 13:00	EDT	1.19	A:e
USGS	01105585	2018-07-05 13:15	EDT	1.19	A:e
USGS	01105585	2018-07-05 13:30	EDT	1.19	A:e
USGS	01105585	2018-07-05 13:45	EDT	1.18	A:e
USGS	01105585	2018-07-05 14:00	EDT	1.18	A:e
USGS	01105585	2018-07-05 14:15	EDT	1.18	A:e
USGS	01105585	2018-07-05 14:30	EDT	1.18	A:e
USGS	01105585	2018-07-05 14:45	EDT	1.18	A:e
USGS	01105585	2018-07-05 15:00	EDT	1.18	A:e
USGS	01105585	2018-07-05 15:15	EDT	1.18	A:e
USGS	01105585	2018-07-05 15:30	EDT	1.18	A:e
USGS	01105585	2018-07-05 15:45	EDT	1.18	A:e
USGS	01105585	2018-07-05 16:00	EDT	1.18	A:e
USGS	01105585	2018-07-05 16:15	EDT	1.18	A:e
USGS	01105585	2018-07-05 16:30	EDT	1.18	A:e
USGS	01105585	2018-07-05 16:45	EDT	1.18	A:e
USGS	01105585	2018-07-05 17:00	EDT	1.18	A:e
USGS	01105585	2018-07-05 17:15	EDT	1.18	A:e
USGS	01105585	2018-07-05 17:30	EDT	1.18	A:e
USGS	01105585	2018-07-05 17:45	EDT	1.18	A:e
USGS	01105585	2018-07-05 18:00	EDT	1.18	A:e
USGS	01105585	2018-07-05 18:15	EDT	1.18	A:e
USGS	01105585	2018-07-05 18:30	EDT	1.18	A:e
USGS	01105585	2018-07-05 18:45	EDT	1.18	A:e
USGS	01105585	2018-07-05 19:00	EDT	1.19	A:e
USGS	01105585	2018-07-05 19:15	EDT	1.19	A:e
USGS	01105585	2018-07-05 19:30	EDT	1.19	A:e
USGS	01105585	2018-07-05 19:45	EDT	1.19	A:e
USGS	01105585	2018-07-05 20:00	EDT	1.19	A:e
USGS	01105585	2018-07-05 20:15	EDT	1.19	A:e
USGS	01105585	2018-07-05 20:30	EDT	1.19	A:e
USGS	01105585	2018-07-05 20:45	EDT	1.19	A:e
USGS	01105585	2018-07-05 21:00	EDT	1.19	A:e
USGS	01105585	2018-07-05 21:15	EDT	1.20	A:e
USGS	01105585	2018-07-05 21:30	EDT	1.20	A:e
USGS	01105585	2018-07-05 21:45	EDT	1.20	A:e
USGS	01105585	2018-07-05 22:00	EDT	1.20	A:e
USGS	01105585	2018-07-05 22:15	EDT	1.20	A:e
USGS	01105585	2018-07-05 22:30	EDT	1.20	A:e
USGS	01105585	2018-07-05 22:45	EDT	1.20	A:e
USGS	01105585	2018-07-05 23:00	EDT	1.20	A:e
USGS	01105585	2018-07-05 23:15	EDT	1.20	A:e
USGS	01105585	2018-07-05 23:30	EDT	1.20	A:e
USGS	01105585	2018-07-05 23:45	EDT	1.21	A:e
USGS	01105585	2018-07-06 00:00	EDT	1.21	A:e
USGS	01105585	2018-07-06 00:15	EDT	1.21	A:e
USGS	01105585	2018-07-06 00:30	EDT	1.21	A:e
USGS	01105585	2018-07-06 00:45	EDT	1.21	A:e
USGS	01105585	2018-07-06 01:00	EDT	1.21	A:e
USGS	01105585	2018-07-06 01:15	EDT	1.21	A:e
USGS	01105585	2018-07-06 01:30	EDT	1.21	A:e
USGS	01105585	2018-07-06 01:45	EDT	1.21	A:e
USGS	01105585	2018-07-06 02:00	EDT	1.21	A:e
USGS	01105585	2018-07-06 02:15	EDT	1.22	A:e
USGS	01105585	2018-07-06 02:30	EDT	1.22	A:e
USGS	01105585	2018-07-06 02:45	EDT	1.22	A:e
USGS	01105585	2018-07-06 03:00	EDT	1.22	A:e
USGS	01105585	2018-07-06 03:15	EDT	1.22	A:e
USGS	01105585	2018-07-06 03:30	EDT	1.22	A:e
USGS	01105585	2018-07-06 03:45	EDT	1.22	A:e
USGS	01105585	2018-07-06 04:00	EDT	1.22	A:e
USGS	01105585	2018-07-06 04:15	EDT	1.22	A:e
USGS	01105585	2018-07-06 04:30	EDT	1.22	A:e
USGS	01105585	2018-07-06 04:45	EDT	1.23	A:e
USGS	01105585	2018-07-06 05:00	EDT	1.23	A:e
USGS	01105585	2018-07-06 05:15	EDT	1.23	A:e
USGS	01105585	2018-07-06 05:30	EDT	1.23	A:e
USGS	01105585	2018-07-06 05:45	EDT	1.23	A:e
USGS	01105585	2018-07-06 06:00	EDT	1.23	A:e
USGS	01105585	2018-07-06 06:15	EDT	1.23	A:e
USGS	01105585	2018-07-06 06:30	EDT	1.23	A:e
USGS	01105585	2018-07-06 06:45	EDT	1.24	A:e
USGS	01105585	2018-07-06 07:00	EDT	1.24	A:e
USGS	01105585	2018-07-06 07:15	EDT	1.24	A:e
USGS	01105585	2018-07-06 07:30	EDT	1.24	A:e
USGS	01105585	2018-07-06 07:45	EDT	1.24	A:e
USGS	01105585	2018-07-06 08:00	EDT	1.24	A:e
USGS	01105585	2018-07-06 08:15	EDT	1.25	A:e
USGS	01105585	2018-07-06 08:30	EDT	1.25	A:e
USGS	01105585	2018-07-06 08:45	EDT	1.26	A:e
USGS	01105585	2018-07-06 09:00	EDT	1.27	A:e
USGS	01105585	2018-07-06 09:15	EDT	1.28	A:e
USGS	01105585	2018-07-06 09:30	EDT	1.29	A:e
USGS	01105585	2018-07-06 09:45	EDT	1.30	A:e
USGS	01105585	2018-07-06 10:00	EDT	1.31	A:e
USGS	01105585	2018-07-06 10:15	EDT	1.32	A:e
USGS	01105585	2018-07-06 10:30	EDT	1.32	A:e
USGS	01105585	2018-07-06 10:45	EDT	1.33	A:e
USGS	01105585	2018-07-06 11:00	EDT	1.34	A:e
USGS	01105585	2018-07-06 11:15	EDT	1.35	A:e
USGS	01105585	2018-07-06 11:30	EDT	1.36	A:e
USGS	01105585	2018-07-06 11:45	EDT	1.37	A:e
USGS	01105585	2018-07-06 12:00	EDT	1.38	A:e
USGS	01105585	2018-07-06 12:15	EDT	4.29	A:e
USGS	01105585	2018-07-06 12:30	EDT	7.46	A:e
